order_id,order_date,order_year,order_month,order_month_name,order_quarter,customer_name,customer_segment,product_name,category,region,sales_channel,payment_method,salesperson,quantity,unit_price,discount_percent,discount_amount,gross_sales,net_sales,rating
ORD-02409,2023-01-01,2023,1,January,Q1,UD Sentosa,Corporate,Wireless Mouse,Accessories,Dki Jakarta,Online,Kartu Kredit,Budi Santoso,13,325883,5.0,211824,4236479,4024655,1.7
ORD-02180,2023-01-01,2023,1,January,Q1,PT Teknologi Nusantara,Retail,Noise Cancelling Headset,Furniture,Jawa Timur,Offline,Kartu Kredit,Dewi Lestari,5,146334700,2.0,14633470,731673500,717040030,3.5
ORD-02311,2023-01-02,2023,1,January,Q1,Toko Elektronik Sukses,Government,Noise Cancelling Headset,Accessories,Dki Jakarta,Online,Transfer Bank,Riko Pratama,45,148044200,27.0,1798737030,6661989000,4863251970,4.4
ORD-01127,2023-01-03,2023,1,January,Q1,PT Teknologi Nusantara,Government,Gaming Chair,Furniture,Dki Jakarta,Online,Qris,Nurul Hidayah,24,2243889,3.0,1615600,53853336,52237736,2.7
ORD-01372,2023-01-03,2023,1,January,Q1,Koperasi Sejahtera,Retail,Wireless Mouse,Accessories,Jawa Barat,Online,Kartu Kredit,Siti Rahayu,21,391878,8.0,658355,8229438,7571083,2.1
ORD-01421,2023-01-04,2023,1,January,Q1,Toko Elektronik Sukses,Government,Noise Cancelling Headset,Furniture,Jawa Barat,Online,Kartu Kredit,Fajar Kurniawan,10,1171699,4.0,468680,11716990,11248310,2.8
ORD-02084,2023-01-04,2023,1,January,Q1,PT Global Digital,Retail,USB-C Hub,Accessories,Dki Jakarta,Offline,Cod,Budi Santoso,19,24590800,0.0,0,467225200,467225200,4.7
ORD-01190,2023-01-05,2023,1,January,Q1,Ibu Sari Dewi,Sme,Mechanical Keyboard,Electronics,Dki Jakarta,Offline,Cod,Riko Pratama,9,838126,18.0,1357764,7543134,6185370,4.6
ORD-01717,2023-01-05,2023,1,January,Q1,CV Karya Indah,Sme,Gaming Chair,Furniture,Dki Jakarta,Online,Kartu Kredit,Dewi Lestari,49,2991655,1.0,1465911,146591095,145125184,2.5
ORD-02191,2023-01-05,2023,1,January,Q1,PT Global Digital,Government,Desk Lamp LED,Peripherals,Bali,Offline,Transfer Bank,Nurul Hidayah,2,370517,13.0,96334,741034,644700,3.3
ORD-01452,2023-01-05,2023,1,January,Q1,PT Teknologi Nusantara,Corporate,USB-C Hub,Accessories,Jawa Timur,Offline,Transfer Bank,Riko Pratama,17,259149,0.0,0,4405533,4405533,2.0
ORD-01580,2023-01-06,2023,1,January,Q1,Bapak Joko Widodo,Corporate,Wireless Mouse,Electronics,Jawa Barat,Offline,Kartu Kredit,Ahmad Fauzi,12,450922,0.0,0,5411064,5411064,3.1500000000000004
ORD-00452,2023-01-06,2023,1,January,Q1,UD Sentosa,Corporate,Desk Lamp LED,Accessories,Jawa Timur,Offline,Transfer Bank,Fajar Kurniawan,49,457156,25.0,5600161,22400644,16800483,4.5
ORD-01339,2023-01-07,2023,1,January,Q1,PT Global Digital,Sme,Mechanical Keyboard,Accessories,Jawa Barat,Offline,Kartu Kredit,Siti Rahayu,14,611409,8.0,684778,8559726,7874948,3.4
ORD-00356,2023-01-08,2023,1,January,Q1,UD Sentosa,Sme,Noise Cancelling Headset,Peripherals,Dki Jakarta,Online,Transfer Bank,Dewi Lestari,31,1240280,28.0,10765630,38448680,27683050,2.9
ORD-00952,2023-01-09,2023,1,January,Q1,,Retail,External SSD 1TB,Accessories,Jawa Barat,Online,Cod,Budi Santoso,11,1000237,0.0,0,11002607,11002607,1.4
