order_id,order_date,customer_name,product_name,category,region,sales_channel,customer_segment,payment_method,salesperson,quantity,unit_price,discount_percent,rating
ORD-00001,2025-12-18,Toko Elektronik Sukses,4K Monitor,Electronics,Kalimantan Timur,OFFLINE,retail,QRIS,Siti Rahayu,28,3819140,0,3.6
ORD-00002,2023-04-25,Ibu Sari Dewi,Gaming chair,electronics,Jawa Barat,online,SME,kartu kredit,Riko Pratama,6,3426492,150,N/A
ORD-00003,2025-04-25,PT Global Digital,external ssd,electronics,Bali,Direct Sales,retail,Kartu Kredit,Budi Santoso,abc,891057,26,2.4
ORD-00004,2024-11-23,,Mechanical Keyboard,Furniture,Sulawesi Selatan,OFFLINE,Government,cod,SITI RAHAYU,0,772200,1,2.1
ORD-00005,2023-04-24,CV Karya Indah,Laptop Pro X2,Accessories,DKI JAKARTA,e-commerce,sme,QRIS,Riko Pratama,17,10615747,7,1.4
ORD-00006,20240909,Ibu Sari Dewi,Noise Cancelling Headset,furniture,Bali,Offline,SME,qris,Fajar Kurniawan,1,1369026,8,1.4
ORD-00007,20240318,Toko Elektronik Sukses,Gaming Chair,Furniture,Sulawesi Selatan,Offline,CORPORATE,COD,Ahmad Fauzi,34,2924048,28,4.2
ORD-00008,2025-08-18,PT Global Digital,Gaming chair,Peripherals,Jawa Timur,direct sales,Corporate,QRIS,Ahmad Fauzi,34,2536517,23,N/A
ORD-00009,2023-10-18,PT Global Digital,USB C Hub,accessories,Jawa Timur,OFFLINE,retail,Kartu Kredit,budi santoso,15,312354,,1.3
ORD-00010,04/02/2023,Yayasan Pendidikan Maju,Webcam HD,Furniture,Bali,direct sales,retail,cod,SITI RAHAYU,23,640598,20,2.6
ORD-00011,,Yayasan Pendidikan Maju,External SSD 1TB,Accessories,Sumatera Utara,direct sales,Government,qris,Ahmad Fauzi,-1,1105185,,
ORD-00012,20230701,Toko Elektronik Sukses,Noise Cancelling Headset,furniture,DKI JAKARTA,direct sales,retail,qris,Budi Santoso,17,Rp 1377955,25,2.9
ORD-00013,20250302,PT Maju Bersama,Wireless Mouse,Electronics,jawa barat,Online,Retail,cod,Nurul Hidayah,6,,3,3.3
ORD-00014,2023-05-13,PT Teknologi Nusantara,Mechanical Keyboard,furniture,Bali,Direct Sales,CORPORATE,COD,budi santoso,42,821930.96,0,3.3
ORD-00015,03-15-2024,,Webcam hd,electronics,DKI Jakarta,Direct Sales,Corporate,COD,budi santoso,46,Rp 672681,,2.2
ORD-00016,2025-04-23,PT Maju Bersama,USB-C Hub,electronics,Jawa Timur,Offline,Government,transfer bank,Riko Pratama,0,294757,29,-1
ORD-00017,N/A,Koperasi Sejahtera,Laptop Pro X2,Furniture,Kalimantan Timur,online,sme,qris,Nurul Hidayah,45,10347029,4,
ORD-00018,2024-10-24,Koperasi Sejahtera,Wireless Mouse,PERIPHERALS,Sumatera Utara,OFFLINE,Corporate,kartu kredit,Nurul Hidayah,11,,-5,
